Name,Type,RA,Dec,Const
NGC3250C,G,10:27:42.47,-40:00:09.3,Ant
NGC3250D,G,10:27:57.94,-39:48:53.2,Ant
NGC3250E,G,10:29:00.70,-40:04:58.1,Ant
NGC3251,G,10:29:16.84,+26:05:57.3,Leo
NGC3252,G,10:34:23.14,+73:45:53.9,Dra
NGC3253,G,10:28:27.32,+12:42:14.6,Leo
NGC3254,G,10:29:19.94,+29:29:30.6,LMi
NGC3255,OCl,10:26:31.36,-60:40:30.7,Car
NGC3256,G,10:27:51.27,-43:54:13.5,Vel
NGC3256A,G,10:25:51.04,-43:44:53.1,Vel
NGC3256B,G,10:29:01.07,-44:24:10.4,Vel
NGC3256C,G,10:29:05.74,-43:50:57.4,Vel
NGC3257,G,10:28:47.12,-35:39:29.1,Ant
NGC3258,G,10:28:53.57,-35:36:19.9,Ant
NGC3258A,G,10:28:19.16,-35:27:16.1,Ant
NGC3258B,G,10:30:25.30,-35:33:48.8,Ant
NGC3258C,G,10:31:24.15,-35:13:13.7,Ant
NGC3258D,G,10:31:55.73,-35:24:35.3,Ant
NGC3258E,G,10:32:24.91,-34:59:54.1,Ant
NGC3259,G,10:32:34.85,+65:02:27.9,UMa
NGC3260,G,10:29:06.39,-35:35:42.7,Ant
NGC3261,G,10:29:01.46,-44:39:24.6,Vel
NGC3262,G,10:29:06.23,-44:09:34.8,Vel
NGC3263,G,10:29:13.36,-44:07:22.5,Vel
NGC3264,G,10:32:19.70,+56:05:07.0,UMa
NGC3265,G,10:31:06.77,+28:47:48.0,LMi
NGC3266,G,10:33:17.61,+64:44:57.8,UMa
NGC3267,G,10:29:48.59,-35:19:20.6,Ant
NGC3268,G,10:30:00.66,-35:19:31.7,Ant
NGC3269,G,10:29:57.06,-35:13:27.8,Ant
NGC3270,G,10:31:29.98,+24:52:10.0,Leo
NGC3271,G,10:30:26.49,-35:21:34.2,Ant
NGC3272,**,10:31:48.15,+28:28:07.6,LMi
NGC3273,G,10:30:29.17,-35:36:38.3,Ant
NGC3274,G,10:32:17.27,+27:40:07.6,Leo
NGC3275,G,10:30:51.80,-36:44:13.1,Ant
NGC3276,G,10:31:09.20,-39:56:40.8,Ant
NGC3277,G,10:32:55.45,+28:30:42.2,LMi
NGC3278,G,10:31:35.39,-39:57:16.7,Ant
NGC3279,G,10:34:42.80,+11:11:50.4,Leo
NGC3280,GTrpl,10:32:45.27,-12:38:10.5,Hya
NGC3280A,G,10:32:46.38,-12:38:04.5,Hya
NGC3280B,G,10:32:43.81,-12:38:14.3,Hya
NGC3280C,G,10:32:45.55,-12:38:14.0,Hya
NGC3281,G,10:31:52.09,-34:51:13.3,Ant
NGC3281A,G,10:31:58.28,-35:11:54.6,Ant
NGC3281B,G,10:31:52.16,-35:12:17.5,Ant
NGC3281C,G,10:32:59.55,-34:53:10.4,Ant
NGC3281D,G,10:34:19.02,-34:24:12.3,Ant
NGC3282,G,10:32:21.92,-22:18:08.2,Hya
NGC3283,G,10:31:11.60,-46:15:04.6,Vel
NGC3284,G,10:36:21.24,+58:37:12.6,UMa
NGC3285,G,10:33:35.84,-27:27:16.0,Hya
NGC3285A,G,10:32:48.78,-27:31:20.8,Hya
NGC3285B,G,10:34:36.88,-27:39:10.6,Hya
NGC3286,Dup,10:36:21.24,+58:37:12.6,UMa
NGC3287,G,10:34:47.30,+21:38:53.8,Leo
NGC3288,G,10:36:25.67,+58:33:22.3,UMa
NGC3289,G,10:34:07.43,-35:19:24.2,Ant
NGC3290,G,10:35:17.43,-17:16:36.4,Hya
NGC3291,*,10:36:06.48,+37:16:27.9,LMi
NGC3292,G,10:35:34.43,-06:10:46.6,Sex
NGC3293,OCl,10:35:48.77,-58:13:28.1,Car
NGC3294,G,10:36:16.25,+37:19:28.9,LMi
NGC3295,Dup,10:32:45.27,-12:38:10.5,Hya
NGC3296,G,10:32:45.40,-12:43:02.7,Hya
NGC3297,G,10:33:11.80,-12:40:18.6,Hya
NGC3298,G,10:37:12.28,+50:07:14.1,UMa
NGC3299,G,10:36:23.80,+12:42:26.6,Leo
NGC3300,G,10:36:38.44,+14:10:16.0,Leo
NGC3301,G,10:36:56.04,+21:52:55.7,Leo
NGC3302,G,10:35:47.43,-32:21:30.6,Ant
NGC3303,GPair,10:36:59.80,+18:08:12.0,Leo
NGC3303 NED01,G,10:36:59.44,+18:08:15.7,Leo
NGC3303 NED02,G,10:37:00.01,+18:08:09.2,Leo
NGC3304,G,10:37:37.91,+37:27:20.3,LMi
NGC3305,G,10:36:11.75,-27:09:43.9,Hya
NGC3306,G,10:37:10.22,+12:39:08.9,Leo
NGC3307,G,10:36:17.17,-27:31:47.1,Hya
NGC3308,G,10:36:22.40,-27:26:17.3,Hya
NGC3309,G,10:36:35.70,-27:31:06.4,Hya
NGC3310,G,10:38:45.86,+53:30:12.2,UMa
NGC3311,G,10:36:42.82,-27:31:42.0,Hya
NGC3312,G,10:37:02.52,-27:33:54.2,Hya
NGC3313,G,10:37:25.45,-25:19:10.0,Hya
NGC3314,GPair,10:37:13.20,-27:41:04.0,Hya
NGC3314A,G,10:37:12.85,-27:41:02.2,Hya
NGC3314B,G,10:37:13.25,-27:41:05.9,Hya
NGC3315,G,10:37:19.23,-27:11:32.3,Hya
NGC3316,G,10:37:37.32,-27:35:39.5,Hya
NGC3317,Other,10:37:43.11,-27:31:10.6,Hya
NGC3318,G,10:37:15.51,-41:37:39.2,Vel
NGC3318A,G,10:35:32.10,-41:44:27.4,Vel
NGC3318B,G,10:37:33.84,-41:27:55.4,Vel
NGC3319,G,10:39:09.46,+41:41:12.0,UMa
NGC3320,G,10:39:36.53,+47:23:52.5,UMa
NGC3321,G,10:38:50.56,-11:38:55.9,Sex
NGC3322,Dup,10:38:50.56,-11:38:55.9,Sex
NGC3323,G,10:39:39.04,+25:19:21.9,LMi
NGC3324,Cl+N,10:37:16.21,-58:37:10.4,Car
NGC3325,G,10:39:20.45,-00:12:00.9,Sex
NGC3326,G,10:39:31.86,+05:06:27.4,Sex
NGC3327,G,10:39:57.94,+24:05:28.5,LMi
NGC3328,*,10:39:54.25,+09:18:00.4,Leo
NGC3329,G,10:44:39.37,+76:48:34.0,Dra
NGC3330,OCl,10:38:45.43,-54:07:50.6,Vel
NGC3331,G,10:40:08.94,-23:49:13.3,Hya
NGC3332,G,10:40:28.37,+09:10:57.2,Leo
NGC3333,G,10:39:49.83,-36:02:10.2,Ant
NGC3334,G,10:41:31.20,+37:18:46.3,LMi
NGC3335,G,10:39:34.06,-23:55:21.7,Hya
NGC3336,G,10:40:17.02,-27:46:37.5,Hya
NGC3337,G,10:41:47.59,+04:59:18.2,Sex
NGC3338,G,10:42:07.54,+13:44:49.2,Leo
NGC3339,*,10:42:10.06,-00:22:09.3,Sex
NGC3340,G,10:42:17.99,-00:22:36.7,Sex
NGC3341,G,10:42:31.47,+05:02:37.7,Sex
NGC3342,Dup,10:40:28.37,+09:10:57.2,Leo
NGC3343,G,10:46:10.45,+73:21:11.3,Dra
NGC3344,G,10:43:31.15,+24:55:20.0,LMi
NGC3345,**,10:43:32.02,+11:59:07.0,Leo
NGC3346,G,10:43:38.91,+14:52:18.7,Leo
NGC3347,G,10:42:46.55,-36:21:09.6,Ant
NGC3347A,G,10:40:20.61,-36:24:40.0,Ant
NGC3347B,G,10:41:59.82,-36:56:07.2,Ant
NGC3347C,G,10:40:53.69,-36:17:16.5,Ant
NGC3348,G,10:47:10.00,+72:50:22.8,UMa
NGC3349,G,10:43:50.56,+06:45:46.7,Leo
NGC3350,G,10:44:22.97,+30:43:29.5,LMi
NGC3351,G,10:43:57.70,+11:42:13.7,Leo
NGC3352,G,10:44:14.93,+22:22:16.3,Leo
NGC3353,G,10:45:22.41,+55:57:37.4,UMa
NGC3354,G,10:43:02.94,-36:21:44.6,Ant
NGC3355,G,10:41:25.99,-23:23:03.3,Hya
NGC3356,G,10:44:12.23,+06:45:31.6,Leo
NGC3357,G,10:44:20.74,+14:05:04.1,Leo
NGC3358,G,10:43:33.02,-36:24:38.5,Ant
NGC3359,G,10:46:36.86,+63:13:27.2,UMa
NGC3360,G,10:44:16.18,-11:14:33.2,Sex
NGC3361,G,10:44:29.17,-11:12:28.5,Sex
NGC3362,G,10:44:51.72,+06:35:48.2,Leo
NGC3363,G,10:45:09.46,+22:04:42.6,Leo
NGC3364,G,10:48:29.82,+72:25:30.1,UMa
NGC3365,G,10:46:12.59,+01:48:47.8,Sex
NGC3366,G,10:35:08.28,-43:41:30.5,Vel
NGC3367,G,10:46:34.95,+13:45:03.1,Leo
NGC3368,G,10:46:45.74,+11:49:11.8,Leo
NGC3369,G,10:46:44.65,-25:14:40.0,Hya
NGC3370,G,10:47:04.05,+17:16:25.0,Leo
NGC3371,Dup,10:48:16.89,+12:37:45.4,Leo
NGC3372,HII,10:45:08.53,-59:52:00.1,Car
NGC3373,Dup,10:48:27.91,+12:31:59.5,Leo
NGC3374,G,10:48:01.05,+43:11:11.6,UMa
NGC3375,G,10:47:00.79,-09:56:28.7,Sex
NGC3376,G,10:47:26.57,+06:02:53.3,Sex
NGC3377,G,10:47:42.33,+13:59:09.3,Leo
NGC3377A,G,10:47:22.30,+14:04:10.0,Leo
NGC3378,G,10:46:43.27,-40:00:57.7,Ant
NGC3379,G,10:47:49.59,+12:34:53.8,Leo
NGC3380,G,10:48:12.18,+28:36:06.4,LMi
NGC3381,G,10:48:24.82,+34:42:41.1,LMi
NGC3382,**,10:48:25.03,+36:43:31.6,LMi
NGC3383,G,10:47:19.20,-24:26:17.4,Hya
NGC3384,G,10:48:16.89,+12:37:45.4,Leo
NGC3385,G,10:48:11.63,+04:55:39.9,Sex
NGC3386,G,10:48:11.91,+04:59:54.9,Sex
NGC3387,Other,10:48:16.74,+04:57:59.8,Sex
NGC3388,Dup,10:51:25.53,+08:34:01.7,Leo
NGC3389,G,10:48:27.91,+12:31:59.5,Leo
NGC3390,G,10:48:04.36,-31:32:00.1,Hya
NGC3391,G,10:48:56.36,+14:13:11.4,Leo
NGC3392,G,10:51:03.00,+65:46:53.6,UMa
NGC3393,G,10:48:23.46,-25:09:43.4,Hya
NGC3394,G,10:50:39.84,+65:43:38.0,UMa
NGC3395,G,10:49:50.11,+32:58:58.3,LMi
NGC3396,G,10:49:55.07,+32:59:27.0,LMi
NGC3397,Dup,10:44:39.37,+76:48:34.0,Dra
NGC3398,G,10:51:31.43,+55:23:27.5,UMa
NGC3399,G,10:49:27.60,+16:13:06.8,Leo
NGC3400,G,10:50:45.47,+28:28:08.7,LMi
NGC3401,Other,10:50:19.87,+05:48:41.4,Sex
NGC3402,G,10:50:26.47,-12:50:40.6,Hya
NGC3403,G,10:53:54.86,+73:41:25.3,Dra
NGC3404,G,10:50:17.98,-12:06:31.4,Hya
NGC3405,GPair,10:49:43.80,+16:14:25.0,Leo
NGC3405 NED01,G,10:49:43.31,+16:14:19.8,Leo
NGC3405 NED02,G,10:49:44.36,+16:14:31.9,Leo
NGC3406,GPair,10:51:44.20,+51:01:26.0,UMa
NGC3406 NED01,G,10:51:43.63,+51:01:19.8,UMa
NGC3406 NED02,G,10:51:44.48,+51:01:30.3,UMa
NGC3407,G,10:52:17.79,+61:22:46.7,UMa
NGC3408,G,10:52:11.68,+58:26:17.3,UMa
NGC3409,G,10:50:20.35,-17:02:37.1,Hya
NGC3410,G,10:51:53.71,+51:00:23.4,UMa
NGC3411,Dup,10:50:26.47,-12:50:40.6,Hya
NGC3412,G,10:50:53.28,+13:24:43.7,Leo
NGC3413,G,10:51:20.74,+32:45:59.0,LMi
NGC3414,G,10:51:16.21,+27:58:30.4,LMi
NGC3415,G,10:51:42.60,+43:42:45.4,UMa
NGC3416,G,10:51:48.31,+43:45:50.9,UMa
NGC3417,G,10:51:01.72,+08:28:24.6,Leo
NGC3418,G,10:51:23.95,+28:06:43.3,LMi
NGC3419,G,10:51:17.74,+13:56:45.6,Leo
NGC3419A,G,10:51:19.94,+14:01:24.4,Leo
NGC3420,G,10:50:09.66,-17:14:33.1,Hya
NGC3421,G,10:50:57.63,-12:26:54.7,Hya
NGC3422,G,10:51:17.34,-12:24:08.6,Crt
NGC3423,G,10:51:14.33,+05:50:24.1,Sex
NGC3424,G,10:51:46.33,+32:54:02.7,LMi
NGC3425,G,10:51:25.53,+08:34:01.7,Leo
NGC3426,G,10:51:41.75,+18:28:51.0,Leo
NGC3427,G,10:51:26.33,+08:17:55.3,Leo
NGC3428,G,10:51:29.51,+09:16:46.2,Leo
NGC3429,Dup,10:51:29.51,+09:16:46.2,Leo
NGC3430,G,10:52:11.40,+32:57:01.6,LMi
NGC3431,G,10:51:15.04,-17:00:28.9,Crt
NGC3432,G,10:52:31.13,+36:37:07.6,LMi
NGC3433,G,10:52:03.87,+10:08:53.9,Leo
NGC3434,G,10:51:58.03,+03:47:31.4,Leo
NGC3435,G,10:54:48.33,+61:17:23.5,UMa
NGC3436,G,10:52:27.49,+08:05:38.5,Leo
NGC3437,G,10:52:35.75,+22:56:02.9,Leo
NGC3438,G,10:52:25.98,+10:32:50.1,Leo
NGC3439,G,10:52:25.72,+08:33:27.3,Leo
NGC3440,G,10:53:49.50,+57:07:07.5,UMa
NGC3441,G,10:52:31.12,+07:13:29.6,Leo
NGC3442,G,10:53:08.11,+33:54:37.3,LMi
NGC3443,G,10:53:00.12,+17:34:25.1,Leo
NGC3444,G,10:52:59.38,+10:12:38.1,Leo
NGC3445,G,10:54:35.49,+56:59:26.5,UMa
NGC3446,OCl,10:52:06.93,-45:08:21.3,Vel
NGC3447,GPair,10:52:26.80,+16:46:44.0,Leo
NGC3447A,G,10:53:23.98,+16:46:20.8,Leo
NGC3447B,G,10:53:29.65,+16:47:09.6,Leo
NGC3448,G,10:54:39.20,+54:18:17.5,UMa
NGC3449,G,10:52:53.66,-32:55:39.4,Ant
NGC3450,G,10:48:03.62,-20:50:57.1,Hya
NGC3451,G,10:54:20.89,+27:14:23.1,LMi
NGC3452,G,10:54:14.08,-11:24:18.2,Crt
NGC3453,G,10:53:40.50,-21:47:33.9,Hya
NGC3454,G,10:54:29.53,+17:20:38.5,Leo
NGC3455,G,10:54:31.09,+17:17:05.1,Leo
NGC3456,G,10:54:03.31,-16:01:39.8,Crt
NGC3457,G,10:54:48.63,+17:37:16.5,Leo
NGC3458,G,10:56:01.48,+57:07:01.1,UMa
NGC3459,G,10:54:44.28,-17:02:31.2,Crt
NGC3460,Dup,10:54:48.63,+17:37:16.5,Leo
NGC3461,G,10:54:55.29,+17:42:29.3,Leo
NGC3462,G,10:55:21.06,+07:41:48.3,Leo
NGC3463,G,10:55:13.36,-26:08:26.7,Hya
NGC3464,G,10:54:40.01,-21:03:59.9,Hya
NGC3465,G,10:59:31.27,+75:11:28.6,Dra
NGC3466,G,10:56:15.48,+09:45:16.0,Leo
NGC3467,G,10:56:44.08,+09:45:32.1,Leo
NGC3468,G,10:57:31.17,+40:56:46.1,UMa
NGC3469,G,10:56:57.69,-14:18:02.9,Crt
NGC3470,G,10:58:44.90,+59:30:38.5,UMa
NGC3471,G,10:59:09.01,+61:31:50.5,UMa
NGC3472,Other,10:57:22.24,-19:38:15.7,Crt
NGC3473,G,10:58:05.17,+17:07:27.9,Leo
NGC3474,G,10:58:08.76,+17:05:44.5,Leo
NGC3475,G,10:58:25.22,+24:13:34.8,Leo
NGC3476,G,10:58:07.60,+09:16:34.1,Leo
NGC3477,G,10:58:12.58,+09:13:04.1,Leo
NGC3478,G,10:59:27.36,+46:07:20.6,UMa
